intensity,mode,total_loss,total_cost,status
0.4,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.4,ELASTIC_MITIGATION,12.430,133.6,OPERATIONAL
0.5,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.5,ELASTIC_MITIGATION,13.152,156.9,OPERATIONAL
0.6,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.6,ELASTIC_MITIGATION,14.036,159.1,OPERATIONAL
0.7,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.7,ELASTIC_MITIGATION,14.665,161.3,OPERATIONAL
0.8,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.8,ELASTIC_MITIGATION,15.073,163.5,OPERATIONAL
0.9,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
0.9,ELASTIC_MITIGATION,15.704,165.0,OPERATIONAL
1.0,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
1.0,ELASTIC_MITIGATION,16.635,165.7,OPERATIONAL
1.1,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
1.1,ELASTIC_MITIGATION,17.035,167.2,OPERATIONAL
1.2,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
1.2,ELASTIC_MITIGATION,17.800,167.9,OPERATIONAL
1.3,FIXED_MITIGATION,18.200,227.5,LOCKED_DOWN
1.3,ELASTIC_MITIGATION,18.218,93.7,LOCKED_DOWN
